ticker, setor, subsetor
ABEV3, BEBIDAS, CERVEJAS E REFRIGERANTES
BBAS3.SA, FINANCEIROS, BANCOS
BBDC3.SA, FINANCEIROS, BANCOS
BBDC4.SA, FINANCEIROS, BANCOS
BEEF3.SA, ALIMENTOS, CARNES E DERIVADOS
BRAP4.SA, HOLDINGS DIVERSIFICADAS, HOLDINGS DIVERSIFICADAS
BRFS3.SA, ALIMENTOS, CARNES E DERIVADOS
BRKM5.SA, QUÍMICOS, PETROQUÍMICOS
BRML3.SA, EXPLORAÇÃO DE IMÓVEIS, EXPLORAÇÃO DE IMÓVEIS
BTOW3.SA, COMÉRCIO, PRODUTOS DIVERSOS
CCRO3.SA, TRANSPORTE, EXPLORAÇÃO DE RODOVIAS
CIEL3.SA, SERVIÇOS FINANCEIROS DIVERSOS, SERVIÇOS FINANCEIROS DIVERSOS 
CMIG4.SA, ENERGIA ELÉTRICA, ENERGIA ELÉTRICA
CPFE3.SA, ENERGIA ELÉTRICA, ENERGIA ELÉTRICA
CSAN3.SA, ALIMENTOS, AÇUCAR E ALCOOL
CSNA3.SA, SIDERURGIA E METALURGIA, SIDERURGIA
CYRE3.SA, CONSTRUÇÃO E ENGENHARIA, CONSTRUÇÃO CIVIL
ECOR3.SA, TRANSPORTE, EXPLORAÇÃO DE RODOVIAS
EGIE3.SA, ENERGIA ELÉTRICA, ENERGIA ELÉTRICA
ELET3.SA, ENERGIA ELÉTRICA, ENERGIA ELÉTRICA
ELET6.SA, ENERGIA ELÉTRICA, ENERGIA ELÉTRICA
EMBR3.SA, MATERIAL DE TRANSPORTE, MATERIAL AERONÁUTICO
ENBR3.SA, ENERGIA ELÉTRICA, ENERGIA ELÉTRICA
ENGI11.SA, ENERGIA ELÉTRICA, ENERGIA ELÉTRICA
EQTL3.SA, ENERGIA ELÉTRICA, ENERGIA ELÉTRICA
FLRY3.SA, SAÚDE, SERVIÇOS MÉDICO - HOSPITALARES - ANÁLISES E DIAGNÓSTICOS
GGBR4.SA, SIDERURGIA E METALURGIA, SIDERURGIA
GOAU4.SA, SIDERURGIA E METALURGIA, SIDERURGIA
GOLL4.SA, TRANSPORTE, TRANSPORTE AÉREO
HGTX3.SA, TECIDOS - VESTUÁRIOS E CALÇADOS, VESTUÁRIO
HYPE3.SA, COMÉRCIO, PRODUTOS DIVERSOS
IGTA3.SA, EXPLORAÇÃO DE IMÓVEIS, EXPLORAÇÃO DE IMÓVEIS 
ITSA4.SA, FINANCEIROS, BANCOS
ITUB4.SA, FINANCEIROS, BANCOS
JBSS3.SA, ALIMENTOS, CARNES E DERIVADOS
LAME4.SA, COMÉRCIO, PRODUTOS DIVERSOS
LREN3.SA, COMÉRCIO, TECIDOS - VESTUÁRIO E CALÇADOS
MRFG3.SA, ALIMENTOS, CARNES E DERIVADOS
MRVE3.SA, CONSTRUÇÃO E ENGENHARIA, CONSTRUÇÃO CIVIL
MULT3.SA, EXPLORAÇÃO DE IMÓVEIS, EXPLORAÇÃO DE IMÓVEIS
PETR3.SA, PETRÓLEO - GÁS E BIOCOMBUSTÍVEL, EXPLORAÇÃO E/OU REFINO E DISTRIBUIÇÃO 
PETR4.SA, PETRÓLEO - GÁS E BIOCOMBUSTÍVEL, EXPLORAÇÃO E/OU REFINO E DISTRIBUIÇÃO
RADL3.SA, COMÉRCIO E DISTRIBUIÇÃO, MEDICAMENTOS
RENT3.SA, DIVERSOS, ALUGUEL DE CARROS
SANB11.SA, FINANCEIROS, BANCOS
SBSP3.SA, ÁGUA E SANEAMENTO, ÁGUA E SANEAMENTO
SULA11.SA, PROVIDÊNCIA E SEGUROS, SEGURADORAS
TIMP3.SA, TELEFONIA MÓVEL, TELEFONIA MÓVEL
TOTS3.SA, PROGRAMAS E SERVIÇOS, PROGRAMAS E SERVIÇOS
USIM5.SA, SIDERURGIA E METALURGIA, SIDERURGIA 
VALE3.SA, MINERAÇÃO, MINERAIS METÁLICOS
VIVT4.SA, TELEFONIA FIXA, TELEFONIA FIXA
VVAR3.SA, COMÉRCIO, ELETRODOMÉSTICOS
WEGE3.SA, MÁQUINAS E EQUIPAMENTOS, MOTORES - COMPRESSORES E OUTROS
